target_id,M,profile,role,removed_sources,default_footprint_points,default_component_count,default_largest_component_points,default_heuristic_label,collapse_bands,all_primary_fields_finite,removed_trace_free_residual_max
single_sun,1,A,single,sun,178,51,112,patchwork,r2_24_42,1,3.80336023e-18
single_proxima_cen,0.122,B,single,proxima_cen,33,24,7,patchwork,,1,4.35919673e-18
single_alpha_system,1.988,C,single,alpha_system,170,60,74,patchwork,r3_42_66,1,5.00230043e-18
single_barnards_star,0.144,B,single,barnards_star,200,22,174,patchwork,r3_42_66,1,5.10403059e-18
single_luhman_system,0.062,B,single,luhman_system,129,32,94,patchwork,r2_24_42,1,4.16914485e-18
single_wise_0855,0.005,B,single,wise_0855,95,24,66,patchwork,r2_24_42,1,3.651951e-18
single_sirius_system,3.081,C,single,sirius_system,236,65,159,patchwork,r2_24_42,1,4.18906698e-18
single_procyon_system,2.101,C,single,procyon_system,127,49,60,patchwork,r2_24_42,1,6.20806324e-18
single_40_system,1.513,C,single,40_system,521,12,510,patchwork,r3_42_66,1,4.22259324e-18
single_61_system,1.33,C,single,61_system,281,52,222,patchwork,r3_42_66,1,4.05636823e-18
single_gj_581,0.31,A,single,gj_581,997,18,968,patchwork,r3_42_66,1,3.75416434e-18
single_stein_system,0.935,A,single,stein_system,841,14,827,patchwork,r3_42_66,1,5.12225172e-18
single_gj_1116_ab,0.18,B,single,gj_1116_ab,161,15,144,patchwork,r2_24_42,1,3.64416064e-18
single_ev_lac,0.35,A,single,ev_lac,295,26,261,patchwork,r3_42_66,1,5.11216367e-18
single_gj_682,0.27,A,single,gj_682,215,42,148,patchwork,r3_42_66,1,4.2366396e-18
single_gj_1002,0.12,B,single,gj_1002,186,13,169,patchwork,r2_24_42,1,3.81925668e-18
single_lhs_292,0.085,B,single,lhs_292,226,20,206,patchwork,r2_24_42,1,5.0003175e-18
single_gj_832,0.45,A,single,gj_832,220,19,194,patchwork,r2_24_42,1,5.77503131e-18
single_denis_1048,0.075,B,single,denis_1048,343,10,332,patchwork,r3_42_66,1,5.01136362e-18
single_ross_154,0.17,B,single,ross_154,200,32,161,patchwork,r2_24_42,1,4.68835551e-18
single_scr_1845_a,0.085,B,single,scr_1845_a,168,28,134,patchwork,r2_24_42,1,3.40439676e-18
multi_nearest_parent_cluster,2.321,multi,multi,proxima_cen|alpha_system|barnards_star|luhman_system|wise_0855,940,117,791,patchwork,r3_42_66,1,5.22719286e-18
multi_heavy_anchor_set,8.683,multi,multi,sirius_system|procyon_system|alpha_system|40_system,1189,184,837,patchwork,r3_42_66,1,4.52119065e-18
multi_outer_shell_extremes,3.558,multi,multi,gj_581|stein_system|gj_1116_ab|ev_lac|40_system|gj_682,2925,64,1308,patchwork,r3_42_66,1,4.63933892e-18
multi_diffuse_low_mass_web,0.474,multi,multi,denis_1048|ross_154|barnards_star|scr_1845_a,902,55,835,patchwork,r3_42_66,1,4.92624323e-18
multi_opposed_edge_pair,0.205,multi,multi,gj_1002|lhs_292,412,33,206,patchwork,r2_24_42,1,3.65012227e-18
