source_id,r_lo,r_hi,n_points,hamiltonian_residual_mean,hamiltonian_residual_p95_abs,abs_weyl_mean,abs_weyl_p95_abs,ricci_trace_mean,ricci_trace_p95_abs,eigen_gap_mean,eigen_gap_p95_abs
B00,0.0,4.0,72,0.0014610554127203715,0.0029289897414855664,0.0018797336880298746,0.002773174725007266,0.018550792838343315,0.024736445583403113,0.44460104033350945,0.4811758115887642
B00,4.0,8.0,555,0.0002354974391512048,0.0005506074929144233,0.003336864599521767,0.0036526501644402742,0.004793176285163206,0.011992324609309435,0.4673164026694255,0.49028217494487764
B00,8.0,12.0,1521,0.0001321317852554486,0.0004323567554820329,0.0018200607546562308,0.002878099912777543,7.480568393441317e-05,0.0005071443156339228,0.44350525439961186,0.4843307435512543
B00,12.0,16.0,2878,3.865621476201511e-05,0.00010354545629525094,0.0007667299773992827,0.0012752005772199483,-9.531531987619622e-06,0.00010354510850447698,0.3336461185113482,0.46522664576768874
B00,16.0,20.0,4408,2.9283807285020473e-05,0.00011667652652249588,0.0006158844091619944,0.0018527009873650962,4.337722850230723e-05,0.00019398312579141898,0.2938093491648363,0.4609623089432716
B00,20.0,24.0,6085,4.488541653963372e-05,0.00021433427755255264,0.000699042122184139,0.0029343144036829472,0.00036175126280588025,0.0023161088116467016,0.30790143391853086,0.46722874641418455
B00,24.0,28.0,7796,6.894356586417326e-05,0.0002765431854641065,0.0006748047876188865,0.002947937522549182,0.0006363721844741148,0.0037451255484484136,0.3207972158508431,0.47073688358068466
B00,28.0,32.0,9281,3.8069814662111415e-05,0.00017137662507593632,0.0006191380346629662,0.002728372812271118,0.0002694277551211615,0.0013603754341602325,0.31741854077319764,0.4784291088581085
B00,32.0,36.0,10753,2.10974465311943e-05,9.678234055172649e-05,0.0004577462175990224,0.001462345337495207,2.4859212763590448e-05,0.000124762172345072,0.3107341495196079,0.4816793859004974
B00,36.0,40.0,12272,1.2966585804044192e-05,5.5797789718780774e-05,0.00035610528946662743,0.0011068591848015785,7.600608208289081e-05,8.45869515615049e-05,0.3021726172984455,0.47412102818489077
B00,40.0,44.0,14124,1.8081092761222615e-05,9.167966018139847e-05,0.00036672448674346706,0.0011643719160929322,0.00016074296979715433,0.00032049030996859044,0.30019252660965706,0.47341403663158405
B00,44.0,48.0,15284,2.7110581502426296e-05,0.00014128047769190722,0.00048360909160932177,0.0017181389324832659,0.00022350375789274079,0.0009137613233178728,0.3031967800186574,0.4800650030374527
B01,0.0,4.0,72,0.0024279397587937033,0.00800277888774872,0.005032139785827085,0.006579136662185193,0.025713416100997064,0.04019511304795742,0.42827971693542266,0.4793943867087364
B01,4.0,8.0,555,0.0005251643486267845,0.0010946937720291313,0.005705207817860552,0.007040041452273727,0.0035794863824471046,0.013339596055448053,0.4599251030264674,0.48940626382827757
B01,8.0,12.0,1521,0.0001358329572749389,0.0004182406119070947,0.002091015929636043,0.0035906662233173847,-3.53524862932928e-06,0.00041824037907645106,0.45279449208796924,0.48875635862350464
B01,12.0,16.0,2898,2.7769771973807332e-05,7.029015723674097e-05,0.0008184003604002672,0.0012738698744215072,1.0629933880327393e-06,7.028979634924331e-05,0.3665805941733954,0.4827950119972229
B01,16.0,20.0,4843,2.3264805304402237e-05,8.217789800255552e-05,0.0005485064923353333,0.0014093306730501324,8.705389512639455e-06,8.476693838019852e-05,0.2943292082565916,0.47410395145416256
B01,20.0,24.0,6920,3.63719274495643e-05,0.0001676487896475005,0.0006476542058245113,0.00263929406646639,0.00017610475566204702,0.0005617417249595731,0.3088865172780965,0.47120761722326276
B01,24.0,28.0,8814,6.05835798990457e-05,0.00027254894957877787,0.000773580774445177,0.003132720547728241,0.0005744022179694464,0.0035245116683654547,0.3383373354062485,0.4795687094330788
B01,28.0,32.0,11094,6.432609097703199e-05,0.00029132152994861845,0.0008056560601626289,0.003133715060539544,0.0005289581978131206,0.0031135609140619646,0.335968218536593,0.4809734344482422
B01,32.0,36.0,13651,4.904285018053344e-05,0.00023016761406324804,0.0007672734374432514,0.0029501133831217885,0.00026798911815285664,0.0014311627601273358,0.3270357715679926,0.4829592704772949
B01,36.0,40.0,15363,4.976659376974225e-05,0.0001668969358433969,0.000627974767528832,0.002193723013624548,0.0003418822522000294,0.0006540028727613366,0.31548095854926855,0.4816663652658462
B01,40.0,44.0,17134,3.5658159735198155e-05,0.00013634483839268768,0.0005294465918849252,0.0019305738329421726,0.0001994786565786893,0.00032525398710276916,0.2995856569505467,0.47793316543102266
B01,44.0,48.0,18469,2.5589704721194352e-05,0.0001103222486563026,0.00047296295676349976,0.0016607257304713065,9.201759347786063e-05,0.00018836964154615875,0.2878578533805498,0.474928343296051
B02,0.0,4.0,72,0.0004130189069352734,0.0005753676930908113,0.00039346697536125756,0.0006046866794349626,0.008260252756170101,0.009773942781612277,0.4232952801717652,0.4776401206851006
B02,4.0,8.0,555,9.428682467573379e-05,0.00025641012180130927,0.001054275607342018,0.0012567744473926724,0.0036724637648476673,0.006508887838572263,0.4685016698665447,0.4928828150033951
B02,8.0,12.0,1521,7.318466569417365e-05,0.00018082319002132863,0.0010289683582351214,0.0012703350512310863,0.00033671980383522454,0.0013832824770361185,0.45558136254842935,0.4922042489051819
B02,12.0,16.0,2898,1.612081549348598e-05,4.364629221527139e-05,0.0004857986812308505,0.0007482747052563355,-4.432753347166836e-07,4.3646235462801995e-05,0.38048172655127704,0.48162333518266676
B02,16.0,20.0,4762,1.1692679613923653e-05,4.462737397261656e-05,0.0003406242574982785,0.0008322366076754401,-2.3362808243282218e-06,4.462761335162207e-05,0.313712299568655,0.4698828965425491
B02,20.0,24.0,6576,2.1203525798570302e-05,6.895487240399234e-05,0.00042711828202528164,0.0014157052792143077,3.9018965842920715e-05,6.931965253897943e-05,0.30002164181541846,0.4737839177250862
